x y
2.568230102709906 9.242953275458696
4.65535893308963 12.000052416224948
7.30087736331168 18.42297995604753
8.140734251329386 17.39902767612122
7.728982993447629 16.00278361680229
13.182933341201934 27.931587138390057
15.239331425396207 33.43590191042602
15.394906464540512 34.40269627473614
18.297178443450655 36.833498372625535
20.408901351210552 47.29758802264483
20.98612917746021 44.99538898767078
23.44910581284769 48.27213754760726
24.57939135941432 50.252331905860714
28.545092332187824 62.75125525784136
30.258078241098293 58.96189049776454
32.060240814072664 60.46911768815415
32.17500145435877 61.61694007256881
35.84034190120792 74.72399083229145
39.47079647407017 89.59632482931974
39.653284061958836 78.93289193523678
42.27886582066998 84.6296241038168
43.09621700558736 83.97761807628098
45.42967788869849 93.18190608987939
48.291864742787546 96.16534876411599
49.107937141584195 96.06118202373982
52.578003845584384 107.66927032934959
54.07745782525076 110.97875566087176
55.14231615393604 113.090340595276
59.04671487196976 121.39917244996298
59.71010774647222 125.49585556800345
62.39591239527706 127.36287508032211
64.26290736009314 134.5148436958123
65.99071402231279 132.02721535611906
66.91965251055491 140.8225449257245
69.89916235539506 144.21849296233324
71.4232536888398 146.13860190282062
76.07974302145297 153.25986369450695
76.28898933648108 154.45441803722287
77.86967857184754 153.29123872734425
79.01076794083896 165.60189575700292
81.60705480690591 165.05172689969783
84.00374416728874 169.5077256804042
84.43403313237206 167.49891227836954
86.1838815154565 171.58397335069083
89.71123137217634 182.36738349242756
92.21029491966348 186.35578233790613
92.38239478590508 188.53191542594683
97.01330732627333 191.47228946596175
98.20227346666407 194.27987405210132
99.2851827888195 198.7803000771367
102.98383556472267 206.06872563959334
104.05485682241881 211.86028235971122
105.8734360804418 211.47111814105037
107.43685218591385 214.53448752238984
108.36831862713653 219.21916047104583
112.86435188226504 222.76437349975964
114.22401370702526 233.53473150075777
114.9839201962239 228.24450384387853
117.70182237792262 237.65962259277688
120.31645189004017 240.90249795452553
124.19536250663378 249.4432607702859
124.30043246531639 248.77076279340855
125.49385927412926 250.32257260780406
126.50881805340119 254.68350548237763
130.3282638137695 260.74857794901897
131.75738073122 261.57161575177355
132.97702099192608 268.2057968739299
136.20633119728544 274.8999264019398
138.83797068414225 277.9102460805864
139.4259444335283 280.70152812754134
141.9760123366038 284.61636913591155
143.54146374220443 286.0482950902742
144.5405556143058 288.9531708218592
149.47456034675199 299.2843557609457
149.13567618172127 300.67720895324874
151.3349319110254 305.05449414924925
153.72319574811993 305.36009673456834
156.80976326226178 315.6964514846517
157.05044926678278 313.4752277245123
160.743299831215 322.3861264509896
163.25300899703606 325.7863849396163
163.0067201743763 324.9100482913106
165.11498214099058 330.3398987807615
168.90337268342122 342.48350602556815
170.9410845930019 340.3333030449604
171.9385971881194 349.74674302920795
172.64636016950763 349.0610406869692
175.7871558746301 348.67875748875
178.88364800307667 360.46166806750205
179.9549559980978 363.2040012858827
182.95058040056827 368.10322514752625
184.2271712137234 371.1257612423689
185.97338771529536 375.603093659457
190.01107688272788 381.4434962997162
191.09937413032816 384.30687748345616
192.09072769573626 388.6790215380834
193.63610338284465 388.3801967374418
197.6229669914834 399.9252236927061
197.81515414556722 400.01774369888625
199.85866839841478 398.08110347198755
